a 安 爱 阿 啊 按 案 暗 岸 奥 唉 碍 矮 哀 昂 傲 挨 袄 埃 呵 哎 澳 艾 氨 俺 癌 凹 鞍 懊 熬 隘
a1 阿 啊 呵 腌 吖 锕 錒
a2 嗄 呵 啊
a3 呵 啊
a4 呵 啊
a5 啊 阿
aba 阿爸
daozuoer 倒座儿
dapai 大牌
dapai 打牌
dapaihang 大排行
dapan 大盘
dapang 大胖
dapangzi 大胖子
dapao 大炮
dapao 打泡
dapao 打炮
dapei 搭配
dapengche 大篷车
dapi 大辟
dapian 大片
dapianyi 大便宜
dapianzi 大骗子
dapiao 大票
dapigu 打屁股
dapin 打拼
dapingmu 大屏幕
dapingshou 打平手
dapo 打破
daposhaguo 打破砂锅
daposhaguowendaodi 打破沙锅问到底
dapu 打谱
dapuer 大谱儿
daqi 大旗 大气
daqi 大漆
daqi 打气
daqian 大钱
daqian 打千
daqian 打钎
daqian 打钱
daqiang 打枪
daqiang 搭腔
daqiang 答腔
daqiannian 大前年
daqianshi 打前失
daqianshijie 大千世界
daqianti 大前提
daqiantian 大前天
daqianzhan 打前站
daqiao 搭桥
daqiaoruozhuo 大巧若拙
daqiceng 大气层
daqidaluo 大起大落
daqihou 大气候
daqin 哒嗪
daqin 大秦
daqindiguo 大秦帝国
daqing 大庆
daqingmaqiao 打情骂俏
daqingwangchao 大清王朝
daqingzao 大清早
daqintielu 大秦铁路
daqipangbo 大气磅礴
daqiu 大秋
daqiu 打球
daqiufeng 打秋风
daqiuzuowu 大秋作物
daqiwancheng 大器晚成
daqiwuran 大气污染
daqiya 大气压
daqiye 大企业
daqu 打趣
daquan 大全
daquan 打拳
daquandulan 大权独揽
daquanpangluo 大权旁落
daquanzi 打圈子
daqunjia 打群架
darang 大嚷
darao 打扰
daren 大人 达人
darenwu 大人物
darenyoudaliang 大人有大量
darongliang 大容量
daru 大儒
daru 打入
dasai 大赛
dasao 大嫂 打扫
dasaochu 大扫除
dashafengjing 大煞风景
dashajiangqing 大厦将倾
dashan 大山 搭讪
dashan 打扇
dashan 打闪
dashan 搭赸
dashan 答讪
dashang 打上
dashao 大少
dashaoye 大少爷
dashe 大赦
dashedaqicun 打蛇打七寸
dashen 大婶 大神
dashener 大婶儿
dasheng 大声
dashengjihu 大声疾呼
dashesuigun 打蛇随棍
dashetou 大舌头
dashi 大事 大师
dashi 大使
dashi 打食
dashibutu 大事不糊涂
dashidafei 大是大非
dashifu 大师傅
dashiji 大事记
dashirenwang 大失人望
dashisuoqu 大势所趋
dashisuowang 大失所望
dashiyiqu 大势已去
dashou 打手
dashou 搭手
dashoubi 大手笔
dashoudajiao 大手大脚
dashu 大暑
dashu 大树 大叔
dashu 答数
dashuai 大率
dashuaige 大帅哥
dashubu 大树不
dashui 大水
dashuteshu 大书特书
dasi 打死 大肆
dasini 打死你
dasiren 打私人
dasuan 打算 大蒜
dasuanpan 打算盘
databu 大踏步
datai 打胎
dataiyang 大太阳
datan 打探
datang 大唐
datang 大堂
date 大…特…
dati 答题 大体
datian 大田
datianbairi 大天白日
datianzuowu 大田作物
dating 打听 大厅
datinger 打挺儿
datingguangzhong 大庭广众
datinghao 打听好
datiqin 大提琴
datixiaozuo 大题小作
datong 打通
datongguan 打通关
datongnage 打通那个
datongxiang 大同乡
datongxiaoyi 大同小异
datou 大头
datou 打头
datou 搭头
datoucai 大头菜
datoufeng 打头风
datoushu 大头书
datoutie 大头贴
datouzhen 大头针
datouzhen 打头阵
datu 大图
datuanjie 大团结
datuanyuan 大团圆
datui 大腿
datuitanggu 打退堂鼓
datuo 大拖
datupian 大图片
dawan 大腕
dawan 打完
dawanpai 打完牌
dawanshang 大晚上
dawei 大为
dawei 大尉
dawei 打围
dawen 打问
dawen 答问
dawenhao 打问号
dawenhe 大汶河
dawenjian 大文件
dawenti 大问题
dawenxun 打问讯
dawo 大我
dawoerzu 达斡尔族
dawujin 大五金
dawulong 大乌龙
dawuwei 大无畏
daxi 大戏
daxi 达奚
daxia 大侠 大虾 打下
daxiale 打下了
daxiamen 大侠们
daxian 大限
daxianfeng 打先锋
daxiang 大箱
daxiang 打响
daxiangjingting 大相径庭
daxiangpian 大相片
daxianshenshou 大显身手
daxianshentong 大显神通
daxiao 大小
daxiao 大校
daxiao 打消
daxiaoxie 大小写
daxiashou 打下手
daxie 大写
daxie 打斜
daxie 答谢
daxiguowang 大喜过望
daxihuan 大喜欢
daxing 大型
daxing 大姓
daxingqiye 大型企业
daxingtumu 大兴土木
daxingxing 大猩猩
daxingxing 大行星
daxinyan 打心眼
daxiongmao 大熊猫
daxiongzuo 大熊座
daxiu 大修
daxiyang 大西洋
daxuan 大选
daxue 大学
daxuebiye 大学毕业
daxuesheng 大学生
daxuezhang 打雪仗
daxunhuan 大循环
daya 大牙 大雅
daya 打压
dayafanzui 打牙犯嘴
dayaji 打牙祭
dayajingyuanyang 打鸭惊鸳鸯
dayami 打哑谜
dayan 大烟
dayan 大盐
dayan 大雁
dayan 打眼
dayan 答言
dayanbucan 大言不惭
dayang 大洋 大羊
dayang 打样
dayang 打烊
dayanger 打佯儿
dayanhu 打掩护
dayanjing 大眼睛
dayao 大要
dayao 打药
dayao 搭腰
dayaodabai 大摇大摆
dayazishangjia 打鸭子上架
daye 大爷
dayedama 大爷大妈
dayewai 打野外
dayezuo 打夜作
dayi 大一 答疑 大义 大意
dayi 大姨
dayi 大衣
dayilinran 大义凛然
dayimieqin 大义灭亲
dayin 打印
dayin 达因
dayindao 打印到
dayindian 打印店
daying 答应
dayingde 答应的
dayinji 打印机
dayintai 打印台
dayizi 大姨子
dayou 大油
dayou 打油
dayouji 打游击
dayoujingting 大有径庭
dayoukeguan 大有可观
dayoukewei 大有可为
dayourenzai 大有人在
dayoushi 打油诗
dayouxi 打游戏
dayouzuowei 大有作为
dayu 大雨 大鱼
dayu ＞
dayuan 大员
dayuan 大圆
dayuanchang 打圆场
dayuchixiaoyu 大鱼吃小鱼
dayudarou 大鱼大肉
dayudengyu ≥
dayue 大月
dayue 大约 答曰
dayuemo 大约摸
dayuezaidongji 大约在冬季
daza 打杂
dazaer 打杂儿
dazahui 大杂烩
dazai 大灾
dazao 大灶
dazao 打造
dazayuaner 大杂院儿
dazeng 大增
dazexiangqiyi 大泽乡起义
dazhan 大战
dazhan 大站
dazhan 打战
dazhan 打颤
dazhang 大涨 打仗
dazhangfu 大丈夫
dazhangqigu 大张旗鼓
dazhangtafa 大张挞伐
dazhaohu 打招呼
dazhaomianer 打照面儿
dazhe 打折 打着
dazhekou 打折扣
dazhen 打针
dazheng 大政
dazheng 打整
dazhi 大指
dazhi 大旨
dazhi 大治
dazhi 大致
dazhihui 大智慧
dazhiruoyu 大智若愚
dazhong 大众
dazhonghua 大众化
dazhonglianchongpangzi 打肿脸充胖子
dazhou 打皱
dazhouzi 大轴子
dazhu 打住 大竹
dazhuan 大专
dazhuan 大篆
dazhuan 打转
dazhuang 打桩
dazhuangjia 大庄稼
dazhuanwan 大转弯
dazhujiao 大主教
dazhutou 大猪头
dazhuyi 打主意
dazi 打字
dazi 沓子
daziji 打字机
daziran 大自然
daziyuan 打字员
dazonger 打总儿
dazongjie 大总结
dazu 大族
dazui 大嘴
dazui 打嘴
dazuizhang 打嘴仗
dazuo 大作
dazuo 打坐
de 的 得 地 德 嘚 锝 徳 㝵 㝶 㤫 㥀 㥁 㯖 䙷 䙸 恴 悳 惪 棏 淂 鍀
de1 嘚
de2 得 德 嘚 锝 徳 㝵 㝶 㤫 㥀 㥁 㯖 䙷 䙸 恴 悳 惪 棏 淂 鍀
de5 的 地 得 䙸
deangzu 德昂族
debian 得便
debian 的变
debing 得病
debo 嘚啵
debonengxian 得薄能鲜
debuchangshi 得不偿失
debudao 得不到
decaijianbei 德才兼备
decheng 得逞
dechong 得宠
dechu 得出 的处
dechulai 得出来
decunjinchi 得寸进尺
dedang 得当
dedao 得到
dedaoduozhu 得道多助，失道寡助
dede 嘚嘚
dede 的的
dedi 的第
dedui 得对 的对
deepuhuo 灯蛾扑火
defa 得法
defen 得分
degaowangzhong 德高望重
deguo 德国
deguoqieguo 得过且过
deguozhisheng 德国之声
deguozhongwenwang 德国中文网
dehouliuguang 德厚流光
dei 得 哋 䮻
dei1 哋
dei3 得 䮻
deikui 得亏
deji 得济
dejin 得劲
dejiu 得救
dekong 得空
dele 得了 的了
deli 得力
delongwangshu 得陇望蜀
deng 等 灯 登 邓 瞪 凳 澄 蹬 鄧 噔 燈 镫 磴 戥 嶝 鐙 櫈 嬁 璒 竳 簦 覴 豋 䒭 䠬 䮴 僜 墱 澂 邆 隥 霯
deng1 灯 登 蹬 噔 燈 镫 鐙 嬁 璒 竳 簦 覴 豋
deng3 等 戥 䒭
deng4 邓 瞪 凳 澄 蹬 鄧 镫 磴 嶝 櫈 鐙 䠬 䮴 僜 墱 澂 邆 隥 霯
dengbian 等边
dengbiansanjiaoxing 等边三角形
dengbiao 灯标
dengbiye 等毕业
dengcai 灯彩
dengcao 灯草
dengcha 等差
dengchashulie 等差数列
dengcheng 登程
dengci 等次
dengcui 等衰
dengdai 等待
dengdaizhe 等待着
dengdao 等到
dengde 等的
dengdeng 等等
dengdengni 等等你
dengdi 登第
dengdi 等第
dengerxiazhi 等而下之
dengexuanju 等额选举
dengfen 等份
dengfengzaoji 登峰造极
denggaowangyuan 登高望远
denggaoyihu 登高一呼
denggaozibei 登高自卑
denggu 镫骨
dengguang 灯光
denghao 等号
denghongjiulu 灯红酒绿
denghou 等候
denghu 灯虎
denghua 灯花
denghui 灯会
denghuo 灯火
denghuohuihuang 灯火辉煌
dengji 登基
dengji 登极
dengji 等级 登记 登机
dengjia 等价
dengjiangni 澄浆泥
dengjiawu 等价物
dengjidun 登记吨
dengjie 灯节
dengjile 登记了
dengjipai 登机牌
dengju 灯具
dengkuan 等宽
denglianger 灯亮儿
dengliangqiguan 等量齐观
denglin 登临
denglizitai 等离子态
dengliziti 等离子体
denglong 灯笼
denglongku 灯笼裤
denglu 登录 登陆
dengluchang 登陆场
dengluqi 登陆器
denglushibai 登录失败
dengluting 登陆艇
dengmen 登门
dengmi 灯谜
dengmiao 灯苗
dengmixiaguo 等米下锅
dengni 等你
dengnian 灯捻
dengpan 登攀
dengpao 灯泡
dengri 等日
dengru 登入
dengsan 灯伞
dengsha 澄沙
dengshanfu 登山服
dengshang 等上 登上 凳上
dengshanlinshui 登山临水
dengshanxiaolu 登山小鲁
dengshanyundong 登山运动
dengshi 灯饰
dengshi 登市
dengshi 登时
dengshi 等式
dengsi 灯丝
dengsi 等死
dengta 灯塔
dengta 等她
dengtai 灯台
dengtai 登台
dengtanbaijiang 登坛拜将
dengtangrushi 登堂入室
dengtong 等同
dengtou 灯头
dengtui 蹬腿
dengwai 等外
dengwo 等我
dengxiang 灯箱
dengxianshizhi 等闲视之
dengxiaopinglilun 邓小平理论
dengxin 灯心
dengxin 灯芯
dengxincao 灯心草
dengxinrong 灯心绒
dengyao 等腰
dengyaosanjiaoxing 等腰三角形
dengyinfengci 等因奉此
dengyou 灯油
dengyu 灯语
dengyu 等于
dengyuling 等于零
dengzai 登载
dengzhan 灯盏
dengzhao 灯罩
dengzhe 等着
dengzi 凳子
dengzi 戥子
dengzi 镫子
deo 的哦
deou 的偶
deqi 得起
deqisuozai 得其所哉
deraorenchuqieraoren 得饶人处且饶人
derener 得人儿
dese 得瑟
deshenfen 的身份
deshenghuichao 得胜回朝
deshi 得势
deshi 得时
deshou 得手
deshu 得数
detianduhou 得天独厚
deweicengyou 得未曾有
dewen 德文
dewo 德我
dexian 得闲
dexing 德行 德性
dexinyingshou 得心应手
deyanger 得样儿
deyao 的要 得要
deyi 得以
deyi 得宜
deyi 得意
deyinmowei 德音莫违
deyiwangxing 得意忘形
deyiwangyan 得意忘言
deyiyangyang 得意洋洋
deyong 得用
deyu 德育
deyu 德语
deyuban 德语班
deyuwangquan 得鱼忘筌
dezheng 德政
dezhi 得知
dezhu 得主
dezui 得罪
dezuiren 得罪人
dezuita 得罪他
di 地 第 底 弟 低 帝 敌 的 蒂 递 抵 迪 滴 堤 笛 提 娣 狄 嘀 邸 缔 谛 翟 涤 嫡 棣 诋 睇 荻 犒 砥 氐 敵 柢 莜 籴 遞 觌 坻 镝 諦 滌 骶 哋 羝 呧 碲 袛 苖 藋 旳 菂 踶 仾 埞 墑 奃 彽 眡 磾 趆 鍉 鏑 隄 鞮 㣙 㰅 㹍 䊮 䨀 䨢 䨤 䮤 䯼 䴞 䵠 仢 唙 嚁 廸 梑 潪 篴 糴 蔋 蔐 藡 覿 豴 蹢 靮 頔 鸐 㡳 㪆 㭽 䂡 䍕 䢑 䣌 䱃 坘 弤 拞 掋 牴 聜 茋 菧 觝 詆 軧 阺 㢩 㦅 㼵 䀸 䀿 䏑 䑭 䑯 䗖 䞶 䟡 䧝 䩘 䩚 䱱 䲦 䶍 偙 僀 啇 啲 坔 埊 墆 嵽 嶳 怟 慸 摕 杕 梊 楴 樀 渧 焍 玓 珶 甋 祶 禘 締 肑 腣 蔕 虳 螮 轪 逓 釱 鉪 馰
di1 低 滴 堤 提 嘀 氐 镝 羝 袛 仾 埞 墑 奃 彽 眡 磾 趆 鍉 鏑 隄 鞮
di2 敌 迪 的 笛 狄 嘀 翟 涤 嫡 荻 犒 敵 莜 籴 觌 镝 滌 苖 藋 㣙 㰅 㹍 䊮 䨀 䨢 䨤 䮤 䯼 䴞 䵠 仢 唙 嚁 廸 梑 潪 篴 糴 蔋 蔐 藡 覿 豴 蹢 鏑 靮 頔 鸐
di3 底 抵 邸 诋 砥 氐 柢 坻 骶 呧 㡳 㪆 㭽 䂡 䍕 䢑 䣌 䱃 坘 弤 拞 掋 牴 聜 茋 菧 觝 詆 軧 阺
di4 地 第 弟 帝 的 蒂 递 娣 缔 谛 棣 睇 遞 諦 哋 碲 旳 菂 踶 㢩 㦅 㼵 䀸 䀿 䏑 䑭 䑯 䗖 䞶 䟡 䧝 䨀 䩘 䩚 䱱 䲦 䶍 偙 僀 啇 啲 坔 埊 墆 嵽 嶳 怟 慸 摕 杕 梊 楴 樀 渧 焍 玓 珶 甋 祶 禘 締 肑 腣 蔕 虳 螮 轪 逓 釱 鉪 馰
dia 嗲
dia 地啊
dia3 嗲
dian
dian 堤岸
dian 点 电 店 典 殿 颠 垫 點 甸 奠 電 惦 淀 癫 掂 佃 巅 踮 玷 滇 钿 靛 碘 簟 墊 癜 顛 蕇 敁 巔 澱 攧 癲 坫 阽 傎 厧 嵮 巓 槇 槙 瘨 蹎 顚 齻 䟍 㚲 㸃 䍄 䓦 嚸 奌 婰 敟 琠 錪 㓠 㝪 㞟 㥆 㵤 㶘 㼭 䧃 䩚 壂 婝 扂 橂 琔 痁 磹 蜔 鈿
dian1 颠 癫 掂 巅 滇 顛 敁 巔 攧 癲 傎 厧 嵮 巓 槇 槙 瘨 蹎 顚 齻
dian2 䟍
dian3 点 典 點 踮 碘 蕇 㚲 㸃 䍄 䓦 嚸 奌 婰 敟 琠 錪
dian4 电 店 殿 垫 甸 奠 電 惦 淀 佃 玷 钿 靛 簟 墊 癜 澱 坫 阽 㓠 㝪 㞟 㥆 㵤 㶘 㼭 䧃 䩚 壂 婝 扂 橂 琔 痁 磹 蜔 鈿
dianbang 电棒
dianbao 电报
dianbaoguahao 电报挂号
dianbei 垫背
dianbi 电笔
dianbiao 电表
dianbinggui 电冰柜
dianbingxiang 电冰箱
dianbo 点拨
dianbo 电波 点播
dianbo 颠簸
dianbu 垫补
dianbu 点补
dianchan 电铲
dianchang 电场
dianchangji 电唱机
dianchangtou 电唱头
dianche 电车
dianchen 电陈
dianchi 电池 滇池
dianchuan 点穿
dianchuan 电船
dianchuifeng 电吹风
dianchula 点出啦
dianci 电瓷
diancibo 电磁波
diancichang 电磁场
dianciganying 电磁感应
diancilu 电磁炉
diancipao 电磁炮
diancuan 点窜
dianda 电大
diandanche 电单车
diandang 典当
diandao 电导
diandaoheibai 颠倒黑白
diandaoqiankun 颠倒乾坤
diandaoshifei 颠倒是非
diandaoyichang 颠倒衣裳
diandaoyinyang 颠倒阴阳
diande 点的
diandengdianhua 电灯电话
diandengpao 电灯泡
diandi 垫底
diandian 点点
diandier 垫底儿
dianding 奠定
dianding 碘酊
diandong 佃东
diandong 店东
diandong 电动
diandongji 电动机
diandongshi 电动势
diandu 奠都
diandu 点厾
diandu 电镀
diandui 掂对
dianduo 掂掇
dianfan 典范
dianfanbao 电饭煲
dianfanguo 电饭锅
dianfei 电费
dianfen 淀粉
dianfengshan 电风扇
dianfu 垫付
dianfu 颠覆
diangan 电杆
diangao 电告
diangao 电镐
diangong 电工
diangonglv 电功率
diangongxue 电工学
diangu 典故
dianguan 电灌
dianguangshihuo 电光石火
dianguangzhaolu 电光朝露
diangunzi 电滚子
dianhan 电焊
dianhao 店好 电好
dianhe 电荷
dianhe 电贺
dianhong 滇红
dianhou 殿后
dianhu 佃户
dianhu 电弧
dianhua 垫话
dianhua 点化
dianhua 电话
dianhuabu 电话簿
dianhuafei 电话费
dianhuahao 电话号
dianhuahuiyi 电话会议
dianhuajiaoyu 电化教育
dianhuaka 电话卡
dianhuan 点幻 电环 点换
dianhuating 电话亭
dianhuaxian 电话线
dianhuhanjie 电弧焊接
dianhui 电汇
dianji 典籍
dianji 奠基
dianji 点击 惦记
dianji 点饥
dianji 电机
dianji 电极
dianjia 店家
dianjian 垫肩
dianjian 电键
dianjiang 点将
dianjiao 垫脚
dianjiao 电教
dianjiao 踮脚
dianjiaoshi 垫脚石
dianjie 典借
dianjie 电解
dianjiezhi 电介质
dianjiezhi 电解质
dianjilv 点击率
dianjinboliang 掂斤播两
dianjinchengtie 点金成铁
dianjishi 奠基石
dianjiu 奠酒
dianju 滇剧
dianjun 殿军
dianka 点卡
diankai 点开
diankang 电抗
diankeer 靛颏儿
diankuang 癫狂
dianlaidaoqu 颠来倒去
dianlaidianqu 点来点去
dianlan 电缆
dianlan 靛蓝
dianli 典礼
dianli 电力
dianli 电离
dianlian 颠连
dianliang 掂量
dianliang 电量
dianliao 电料
dianliao 电疗
dianlicengbao 电离层暴
dianling 电铃
dianliu 电流
dianliubiao 电流表
dianliuqiangdu 电流强度
dianliwang 电力网
dianlixian 电力线
dianlu 电炉
dianlu 电路
dianluandaofeng 颠鸾倒凤
dianlutu 电路图
dianlv 电驴
dianlvzi 电驴子
dianma 电码
dianmao 点卯
dianmaozhongzhong 颠毛种种
dianmen 电门
dianmian 店面
dianming 点名
dianming 点明
dianmo 颠末
diannao 电脑
diannaobingdu 电脑病毒
diannaocheng 电脑城
diannaogaoshou 电脑高手
diannaoli 电脑里
diannaomang 电脑盲
diannaoqingxiji 电脑清洗剂
diannaoshichang 电脑市场
dianneng 电能
diannian 惦念
dianniu 电钮
diannong 佃农
dianpan 点盘
dianpeiliuli 颠沛流离
dianping 点评
dianping 电瓶
dianpingche 电瓶车
dianpo 点破
dianpu 店铺
dianpu 颠仆
dianpubupo 颠扑不破
dianqi 电器
dianqi 电气
dianqihua 电气化
dianqing 靛青
dianquan 佃权
dianquan 垫圈
dianran 点染
dianran 点燃
dianre 电热
dianrong 电容
dianrongqi 电容器
dianru 玷辱
diansandaosi 颠三倒四
dianshan 电扇
dianshang 点上
dianshangyundong 垫上运动
dianshanleiming 电闪雷鸣
dianshe 点射
dianshi 殿试
dianshi 电势
dianshi 电石
dianshi 电视
dianshicha 电势差
dianshichengjin 点石成金
dianshidaxue 电视大学
dianshidianhua 电视电话
dianshifasheta 电视发射塔
dianshijieshouji 电视接收机
dianshiju 电视剧
dianshipian 电视片
dianshitai 电视台
dianshou 点收
diansi 电死
diantai 电台
diantang 店堂
diantang 殿堂
diantang 电烫
dianti 点题
dianti 电梯
diantiechengjin 点铁成金
diantong 点通
diantong 电筒
diantou 点头
diantou 电头
diantouhayao 点头哈腰
dianwang 电网
dianwei 点位
dianweizhiyu 阽危之域
dianwen 电文
dianwu 玷污
dianwudeng 碘钨灯
dianxia 殿下
dianxian 电线
dianxian 癫痫
dianxiaoer 店小二
dianxiazi 电匣子
dianxin 点心
dianxin 电信
dianxing 典型
dianxing 电刑
dianxingde 典型的
dianxinta 电信他
dianxue 点穴
dianxunyongyu 电讯用语
dianya 典押
dianya 典雅
dianya 电压
dianyabiao 电压表
dianyaji 电压计
dianyan 点验
dianyan 电唁
dianyan 电眼
dianyi 奠仪
dianyi 电椅
dianying 电影
dianyingjuben 电影剧本
dianyingsheyingji 电影摄影机
dianyingyuan 电影院
dianyuan 店员
dianyuan 电源
dianyuandeng 电源等
dianzao 电灶
dianzha 电闸
dianzhang 典章
dianzhaooni 点找哦你
dianzhi 垫支
dianzhong 点种
dianzhong 点钟
dianzhong 电钟
dianzhou 电轴
dianzhu 店主
dianzhu 电珠
dianzhuaner 电转儿
dianzhui 点缀
dianzi 垫子
dianzi 点子
dianzi 电子 点字
dianzi 甸子
dianzi 癫子
dianziban 电子版
dianzichubanwu 电子出版物
dianzicidian 电子词典
dianziguan 电子管
dianzihanjian 电子函件
dianzihuobi 电子货币
dianzijisuanji 电子计算机
dianziliu 电子流
dianziqiang 电子枪
dianziqin 电子琴
dianzishangwu 电子商务
dianzishoubiao 电子手表
dianzishu 电子书
dianzishu 电子束
dianzixi 电子系
dianzixianweijing 电子显微镜
dianzixinxiang 电子信箱
dianziyan 电子眼
dianziyinyue 电子音乐
dianziyoujian 电子邮件
dianziyouxiang 电子邮箱
dianzu 佃租
dianzu 电阻
dianzuan 电钻
dianzui 电嘴
diao 掉 调 吊 雕 钓 凋 刁 叼 調 貂 碉 啁 莜 弔 铫 屌 鲷 踔 釣 铞 彫 鵰 奝 弴 扚 殦 汈 琱 瞗 矵 虭 蛁 鮉 鯛 鳭 鼦 㹿 䄪 䄷 䉆 㒛 㪕 䂪 䂽 䔙 䠼 䳝 䵲 伄 瘹 窎 窵 竨 蓧 訋 誂 鈟 銚 銱 鋽 鑃 魡
diao1 雕 凋 刁 叼 貂 碉 鲷 彫 鵰 奝 弴 扚 殦 汈 琱 瞗 矵 虭 蛁 鮉 鯛 鳭 鼦
diao3 屌 㹿 䄪 䄷 䉆
diao4 掉 调 吊 钓 調 啁 莜 弔 铫 踔 釣 铞 㒛 㪕 䂪 䂽 䔙 䠼 䳝 䵲 伄 瘹 窎 窵 竨 蓧 訋 誂 鈟 銚 銱 鋽 鑃 魡
diaobai 凋败
diaoban 雕版
diaobang 吊膀
diaobangzi 吊膀子
diaobao 掉包
diaobao 碉堡
diaobao 调包
diaobibugu 掉臂不顾
diaobingqianjiang 调兵遣将
diaobuchu 调不出
diaocha 调查
diaochan 貂蝉
diaoche 吊车
diaocheng 掉秤
diaochongxiaoji 雕虫小技
diaochu 调出
diaochuang 吊床
diaochuang 吊窗
diaochulai 调出来 掉出来
diaodai 吊带
diaodao 掉到
diaodeng 吊灯
diaodianer 掉点儿
diaodiao 调调
diaodong 调动
diaodu 调度
diaodui 掉队
diaoer 钓饵
diaoerlangdang 吊儿郎当
diaoerlangdang 吊尔郎当
diaofang 调防
diaogan 钓竿
diaoganzhuoshen 雕肝琢肾
diaogou 钓钩
diaoguoer 掉过儿
diaohan 刁悍
diaohan 调函
diaohanlouge 雕蚶镂蛤
diaohao 调号
diaohongqi 雕红漆
diaohua 刁滑
diaohua 雕花
diaohuan 吊环
diaohuan 掉换
diaohuan 调换
diaohulishan 调虎离山
diaoji 吊祭
diaoji 调集
diaojia 掉价
diaojiaolou 吊脚楼
diaoju 钓具
diaojuan 吊卷
diaojuan 调卷
diaojuan 雕镌
diaokaner 调侃儿
diaoke 雕刻
diaokou 吊扣
diaolanyuqi 雕阑玉砌
diaolei 调类
diaolianghuadong 雕梁画栋
diaoling 凋零
diaoling 调令
diaolou 吊楼
diaolou 碉楼
diaoluo 凋落
diaomao 吊毛
diaomener 调门儿
diaominfazui 吊民伐罪
diaonao 掉闹
diaopai 调派
diaopan 吊盘
diaopei 调配
diaoping 吊瓶
diaopu 吊铺
diaoqi 雕漆
diaoqi 雕砌
diaoqian 调遣
diaoqianer 吊钱儿
diaoqianghua 掉枪花
diaoqiao 吊桥
diaoren 调任
diaosancunshe 掉三寸舌
diaosangzi 吊嗓子
diaose 掉色
diaoshan 吊扇
diaoshi 调式
diaoshi 雕饰
diaoshudai 掉书袋
diaosiwenji 吊死问疾
diaosu 雕塑
diaotianjuedi 刁天决地
diaotong 吊桶
diaotou 掉头
diaotou 调头
diaowadai 吊袜带
diaowan 刁顽
diaoweikou 吊胃口
diaoxian 吊线
diaoxian 掉线
diaoxiao 吊孝
diaoxiao 吊销
diaoxie 凋谢
diaoxinyanzhao 雕心雁爪
diaoyan 吊唁
diaoyan 调演
diaoyan 调研
diaoyiqingxin 掉以轻心
diaoyong 调用
diaoyouzhidi 钓游之地
diaoyu 钓鱼
diaoyuan 窎远
diaoyun 调运
diaoyutai 钓鱼台
diaozha 掉渣
diaozhanglouju 雕章镂句
diaozhi 调值
diaozhi 调职
diaozhuan 掉转
diaozhuan 调转
diaozhuang 吊装
diaozhuo 雕琢
diaozi 调子
diaozi 铫子
diaozuanguguai 刁钻古怪
diba 堤坝
diban 地板
diban 底版
dibanben 低版本
dibang 地磅
dibange 地板革
dibanzhuan 地板砖
dibao 低保
dibao 地保
dibao 地堡
dibei 低倍
diben 底本
dibengshancui 地崩山摧
dibiao 地表
dibie 地鳖
dibo 地波
dibu 地鵏
dibu 底部 地步
dibu 抵补
dibu 递补
dibujiu 低不就
dicai 地财
dice 底册
diceng 地层
diceng 底层
dicengci 低层次
dichan 低产
dichan 地产
dichang 抵偿
dichao 低潮
dichao 地潮
dichaotian 底朝天
dichen 低沉
dicheng 地秤
dichoudeqi 地丑德齐
dichu 嫡出
dichu 抵触
dichu 涤除
dichuan 嫡传
dici 地磁
diciji 地磁极
dida 嘀嗒
dida 抵达
dida 滴答
didai 地带
didang 低档
didang 涤荡
didang 的当
didangbuzhu 抵挡不住
didao 地道
didawubo 地大物博
didengdongwu 低等动物
didengzhiwu 低等植物
didi 弟弟 滴滴
didi 樀樀
didian 地点
didianliu 低电流
didiao 低调
diding 滴定
didingguan 滴定管
didiqueque 地的确确
diditi 滴滴涕
didiwei 敌敌畏
didong 螮蝀
didongyi 地动仪
diduan 地段
diduan 底端 低端
diduanji 低端机
didui 敌对
die 帝俄
die 爹 跌 叠 蝶 碟 迭 谍 喋 牒 堞 耋 疊 蹀 諜 鲽 垤 瓞 鳎 揲 攧 詄 褺 絰 绖 鰈 㑙 㥈 㦶 㩸 㩹 㫼 㬪 㭯 㲲 㲳 㷸 㻡 䏲 䘭 䞇 䞕 䠟 䪥 䮢 䲀 䳀 䳻 䴑 咥 峌 嶀 恎 惵 戜 挕 昳 曡 楪 氎 牃 畳 疂 疉 眣 眰 耊 聑 胅 臷 艓 苵 蜨 褋 趃 跕 镻
die1 爹 跌 褺
die2 叠 蝶 碟 迭 谍 喋 牒 堞 耋 疊 蹀 諜 鲽 垤 瓞 鳎 揲 攧 詄 絰 绖 鰈 㑙 㥈 㦶 㩸 㩹 㫼 㬪 㭯 㲲 㲳 㷸 㻡 䏲 䘭 䞇 䞕 䠟 䪥 䮢 䲀 䳀 䳻 䴑 咥 峌 嶀 恎 惵 戜 挕 昳 曡 楪 氎 牃 畳 疂 疉 眣 眰 耊 聑 胅 臷 艓 苵 蜨 褋 趃 跕 镻
diebao 谍报
diechuangjiawu 叠床架屋
dieci 迭次
diecui 叠翠
diedang 螲蟷
diedang 跌宕
diedang 跌荡
diedao 跌倒
diedie 爹爹
diediebuxiu 喋喋不休
diediezhuangzhuang 跌跌撞撞
diefen 跌份
diefu 跌幅
diegu 蝶骨
diejia 叠加
diejia 跌价
diejiao 跌跤
dieluo 跌落
dieluohan 叠罗汉
dienie 嵽嵲
dieqi 迭起
